sequence	VoyageID	Lat	LatType	Lon	LonType	Day	Month	Year	SpeciesName	Number_Whales	Vessel1	Vessel2	Ocean	Basin	DegLat	MinLat	NS	DegLong	MinLong	EW	PosType	Wording	Remarks
3614	AV05783	-47.717	L	71.000	L	20	1	1858	Right	1			Indian	Indian	47	43	S	71	0	E	L:L		
15908	AV05783	0.000	I	0.000	I	30	6	1858	Bowhead	1			Okhotsk	North Pacific							I:I	SW Bay (near Shantars)	
15547	AV05783	54.000	I	137.500	I	15	7	1858	Bowhead	1			Okhotsk	North Pacific							I:I	Shantar Bay	
15457	AV05783	54.000	I	137.500	I	21	7	1858	Bowhead	1			Okhotsk	North Pacific							I:I	Shantar Bay	
15539	AV05783	54.000	I	137.500	I	18	8	1858	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	
15698	AV05783	54.000	I	137.500	I	20	8	1858	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	found dead
15685	AV05783	54.000	I	137.500	I	28	8	1858	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	
15683	AV05783	54.000	I	137.500	I	16	9	1858	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	
15577	AV05783	54.000	I	137.500	I	19	9	1858	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	
15635	AV05783	54.000	I	137.500	I	24	9	1858	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	
1137	AV05783	55.667	L	141.000	L	7	6	1859	Bowhead	1			Okhotsk	North Pacific	55	40	N	141	0	E	L:L	near 141 E	
774	AV05783	55.667	L	141.000	L	8	6	1859	Bowhead	1			Okhotsk	North Pacific	55	40	N	141	0	E	L:L	near 141 E	
15659	AV05783	54.000	I	137.500	I	2	9	1859	Bowhead	1			Okhotsk	North Pacific							I:I	Shantar Bay	
15620	AV05783	54.000	I	137.500	I	7	9	1859	Bowhead	1			Okhotsk	North Pacific							I:I	Shantar Bay	
15695	AV05783	54.000	I	137.500	I	9	9	1859	Bowhead	1			Okhotsk	North Pacific							I:I	Shantar Bay	
12496	AV05783	0.000	I	0.000	I	30	9	1859	Bowhead	1			Okhotsk	North Pacific							I:I	Aian Harbor	found dead
9688	AV05783	1.667	L	-168.000	L	21	12	1859	Sperm	2			Pacific	North Pacific	1	40	N	168	0	W	L:L		
6409	AV05783	0.000	L	168.000	L	24	1	1860	Sperm	3			Pacific	North Pacific	0	0	N	168	0	E	L:L		
2300	AV05783	31.000	L	125.000	L	14	3	1860	Right	1			Pacific	North Pacific	31	0	N	125	0	E	L:L		
1450	AV05783	31.000	L	125.000	L	15	3	1860	Right	1			Pacific	North Pacific	31	0	N	125	0	E	L:L		found dead
14956	AV05783	55.000	I	150.000	I	26	6	1860	Gray	1			Okhotsk	North Pacific							I:I	Sachalin Gulf	
14955	AV05783	55.000	I	150.000	I	27	6	1860	Gray	1			Okhotsk	North Pacific							I:I	Sachalin Gulf	
14957	AV05783	55.000	I	150.000	I	1	7	1860	Gray	1			Okhotsk	North Pacific							I:I	Cape Elizabeth	
14920	AV05783	55.000	I	150.000	I	3	7	1860	Gray	1			Okhotsk	North Pacific							I:I	Rainack I.	
14905	AV05783	55.000	I	150.000	I	4	7	1860	Gray	2			Okhotsk	North Pacific							I:I	Rainack I.	
14897	AV05783	55.000	I	150.000	I	6	7	1860	Gray	1			Okhotsk	North Pacific							I:I	Rainack I.	
14914	AV05783	55.000	I	150.000	I	7	7	1860	Gray	1			Okhotsk	North Pacific							I:I	Rainack I.	
2125	AV05783	54.433	L	138.000	L	8	7	1860	Gray	1			Okhotsk	North Pacific	54	26	N	138	0	E	L:L		
15492	AV05783	54.000	I	137.500	I	1	8	1860	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	found dead
15520	AV05783	54.000	I	137.500	I	24	8	1860	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	
15522	AV05783	54.000	I	137.500	I	9	9	1860	Bowhead	1			Okhotsk	North Pacific							I:I	around Shantars	found dead
3043	AV05783	51.833	L	153.833	L	31	9	1860	Right	1			Okhotsk	North Pacific	51	50	N	153	50	E	L:L		
